ListName,DomainOwner,CRMType,PullOwner
AMQueueCompareConfig_F28_PULL,AMO/L8,MCCB,PIC
ASOMConfig_F28_PULL,AMO/L8,Direct Pull Special,PIC
ASOMDispatchConfig_F28_PULL,AMO/L8,Direct Pull,PIC
AutoFOSBNameConfig_F28_PULL,MES,?,MES
AutoFOSBSiteConfiguration_F28_PULL,MES,?,MES
AutoMergeSplitConfig_F28_PULL,MES,Direct Pull,PIC
BatchToolList_F28_PULL,AIT,Direct Pull,PIC
CascadeConfig_F28_PULL,AMO/L8,MCCB,PIC
ChildLotPlanConfigurationForSplitLotRework_F28_PULL,MES,Direct Pull,PIC
ClusterConfiguration_F28_PULL,AMO/L8,MCCB,PIC
ComplexPAPermutations_F28_PULL,MES,Direct Pull,PIC
CriticalQueueTimeConfiguration_F28_PULL,AMO/L8,Direct Pull Special,PIC
CRMEditorSecurityConfiguration_F28_PULL,SiteSpecific,Direct Pull Special,SiteSpecific
CustomizationMap_F28_PULL,AMO/L8,MCCB,PIC
DieTraynLidPMDueMaxCounts_F28_PULL,MES,?,?
DragonOperations_F28_PULL,D1D Only,?,?
EquipModel_F28_PULL,AIT,Direct Pull,PIC
EquipProcessing_F28_PULL,AIT,Direct Pull,PIC
ExceptionNotificationConfiguration_F28_PULL,AMO/L8,MCCB,PIC
ExcludeFromL8Processing_F28_PULL,AMO/L8,MCCB,PIC
ForceLotPurgeConfiguration_F28_PULL,AIT,Direct Pull Special,PIC
FOSBCarrierConfig_F28_PULL,MES,?,?
FOUPCarrierType_F28_PULL,MES,Direct Pull,PIC
FOUPCarrierOperationValidation_F28_PULL,AIT,Direct Pull,PIC
FOUPWashConfiguration_F28_PULL,AIT,?,?
FunctionalAreaValidation_F28_PULL,WIP,?,?
Groups_F28_PULL,AIT,Direct Pull,PIC
IncludeMOQEventsEntities_F28_PULL,AMO/L8,Direct Pull,PIC
IntelErrorCodes_F28_PULL,MES,Direct Pull,PIC
L8CapableTools_F28_PULL,AMO/L8,Direct Pull Special,PIC
L8AutoMonTrigger_F28_F28_PULL,AMO/L8,Users,Users
L8AutoMonFlow_F28_F28_PULL,AMO/L8,Users,Users
L8AutoMonBatching_F28_F28_PULL,AMO/L8,Users,Users
L8SSTChemGroupPrecedence_F28_PULL,AMO/L8,Users,Users
L8SSTOperChemGroupMapping_F28_PULL,AMO/L8,Users,Users
L8VIMOperToSpeciesLossCodes_F28_PULL,AMO/L8,Users,Users
OperationWorkflowDefinition_F28_PULL,WIP,MCCB,PIC
PartialWaferDieLossCodes_F28_PULL,MES,?,?
PFCFunctionalTypes_F28_PULL,WIP,MCCB,PIC
PFCMaskAlignments_F28_PULL,WIP,Direct Pull,PIC
PMCounterReset_F28_PULL,AIT,Direct Pull,PIC
ProcessRevNumbers_F28_PULL,MES,Direct Pull,PIC
PurgeFOUPTypeConfig_F28_PULL,AIT,Direct Pull,PIC
PurgeOperationConfigEx_F28_PULL,AIT,Direct Pull,PIC
PxCascadeTrack2_F28_PULL,AMO/L8,MCCB,PIC
ReelDieLossCodes_F28_PULL,MES,?,?
ReworkCauses_F28_PULL,WIP,Direct Pull Special,PIC
ReworkLimitOnLithoLayers_F28_PULL,MCCB,Users,Users
SmartDelayConfiguration_F28_PULL,AMO/L8,Direct Pull Special,PIC
SorterAction_F28_PULL,WIP,MCCB,Integration
StartsQueueConfiguration_F28_PULL,WIP,Direct Pull,MES
SubmarineConfig_F28_PULL,MES,Direct Pull Special,PIC
SystemConstants_F28_PULL,MES,MCCB,MES
UndoAllowedIntermediateTransactions_F28_PULL,WIP,Direct Pull,MES
UndoSplitMergeIntermediateTransactionFilter_F28_PULL,WIP,MCCB,MES
WIPSteeringConfigurationEx_F28_PULL,AIT,Direct Pull,PIC
AMQueueCompareConfig_F24_PULL,AMO/L8,MCCB,PIC
ASOMConfig_F24_PULL,AMO/L8,Direct Pull Special,PIC
