ListName,DomainOwner,CRMType,PullOwner
AMQueueCompareConfig_F28_PULL,AMO/L8,MCCB,PIC
AreaModuleValidation_F28_PULL,AIT,Direct Pull,PIC
ASOMConfig_F28_PULL,AMO/L8,MCCB,MES
ASOMDispatchConfig_F28_PULL,AMO/L8,Direct Pull Special,PIC
AutoFOSBNameConfig_F28_PULL,MES,Direct Pull,PIC
AutoMergeSplitConfig_F28_PULL,MES,Direct Pull Special,PIC
BatchToolList_F28_PULL,AIT,Direct Pull,PIC
CascadeConfig_F28_PULL,AMO/L8,MCCB,PIC
ChainLogEventSetup_F28_PULL,MES,Direct Pull,PIC
ChildLotPlanConfigurationForSplitLotRework_F28_PULL,MES,Direct Pull,PIC
ClusterConfiguration_F28_PULL,AMO/L8,MCCB,PIC
ComplexPAPermutations_F28_PULL,MES,Direct Pull,PIC
CriticalQueueTimeConfiguration_F28_PULL,AMO/L8,Direct Pull Special,PIC
CriticalQueueTimeConfigurationEx_F28_PULL,AMO/L8,Direct Pull Special,PIC
CustomizationMap_F28_PULL,AMO/L8,MCCB,PIC
DieTraynLidPMDueMaxCounts_F28_PULL,MES,Direct Pull,PIC
EquipModel_F28_PULL,AIT,Direct Pull,PIC
EquipProcessing_F28_PULL,AIT,Direct Pull,PIC
ExceptionNotificationConfiguration_F28_PULL,AMO/L8,MCCB,PIC
ExcludeFromL8Processing_F28_PULL,AMO/L8,MCCB,PIC
ForceLotPurgeConfiguration_F28_PULL,AIT,Direct Pull Special,PIC
FOUPCarrierOperationValidation_F28_PULL,AIT,Direct Pull,PIC
FOUPCarrierType_F28_PULL,AIT,Direct Pull,PIC
FunctionalAreaValidation_F28_PULL,WIP,Direct Pull,PIC
Groups_F28_PULL,AIT,Direct Pull,PIC
IncludeMOQEventsEntities_F28_PULL,AMO/L8,Direct Pull,PIC
IntelErrorCodes_F28_PULL,MES,Direct Pull,PIC
L8CapableTools_F28_PULL,AMO/L8,Direct Pull Special,PIC
L8CustomizationPointWFConfig_F28_PULL,AMO/L8,MCCB,PIC
L8SSTChemGroupPrecedence_F28_PULL,AMO/L8,Users,Users
L8SSTOperChemGroupMapping_F28_PULL,AMO/L8,Users,Users
L8VIMOperToSpecies_F28_PULL,AMO/L8,Users,Users
LossCodes_F28_PULL,AIT,Direct Pull,PIC
LotAttributeSortDestinationValidationList_F28_PULL,MES,Direct Pull,MES
NonGatingDispoOperationConfiguration_F28_PULL,MES,Users,Users
OperationWorkflowDefinition_F28_PULL,WIP,Direct Pull Special,PIC
PFCFunctionalTypes_F28_PULL,WIP,Direct Pull,PIC
